სათაური,ავტორი,ფასი
იზოლაცია,მარიამ ოდიშვილი,GEL 615 
აღარ ვთამაშობ,ანა იაკობაშვილი,"GEL 1,144 "
ჯადოსნური ტყე,დავით ბერიძე,"GEL 3,146 "
სიზმარი,მარი ჩიჯავაძე,"GEL 3,274 "
ბაბუაწვერა,მერაბ ჩაკვეტაძე,"GEL 5,311 "
ტენისის მოთამაშე,მარიამ აქუბარდია,"GEL 2,188 "
სამი სხეული,გურამ ცერცვაძე,"GEL 2,860 "
სიმშვიდე აფეთქების ფონზე,მარიამ აქუბარდია,GEL 887 
უხორცო ოცნება და ცოტა იმედი,ირაკლი მაისურაძე,"GEL 2,451 "
შენი ტკივილი ჩემი (ცაა) და მე (ცა) მტკივა,თემო ჯავახი,"GEL 3,432 "
დაცემული მზე,მაკა მეძმარიაშვილი,"GEL 3,274 "
უსათაუროდ,მარი ჩიჯავაძე,"GEL 2,860 "
ენერგია,ვლადიმერ გობოზოვი,"GEL 1,030 "
თოჯინა,ვლადიმერ გობოზოვი,"GEL 1,644 "
სამნი,ზურა გეწაძე,"GEL 4,084 "
"სერიიდან ""უჯრედები""",კოტე ჯინჭარაძე,"GEL 2,459 "
ბრძოლა,ზაზა ციცქიშვილი,"GEL 2,860 "
წყვილები,გელა ზაუტაშვილი,"GEL 6,134 "
ძველი სავარძელი,თემო ჯავახი,"GEL 4,862 "
პატარა სახლი,გურამ ხეცურიანი,"GEL 2,860 "
ოპიუმი,ლემბი,"GEL 3,718 "
მოკლე ბანალური ისტორიები,გელა ზაუტაშვილი,"GEL 4,090 "
სერიიდან „სიმშვიდე შტორმის შემდეგ“,მარიამ აქუბარდია,"GEL 1,759 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 4,090 "
წითელი მდინარე,თემო ჯავახი,"GEL 5,720 "
ეროტიკული მოტივი,პეტრე ბლიოტკინი,"GEL 4,090 "
დაფარული,მარიამ ოდიშვილი,GEL 329 
ჩარჩო,მარი ჩიჯავაძე,"GEL 2,459 "
უსათაუროდ,მარიამ ოდიშვილი,"GEL 1,230 "
უსათაუროდ,მიშა შენგელია,"GEL 2,045 "
ცხენი,გიორგი კობიაშვილი,"GEL 2,459 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 5,291 "
აუზი,მარიამ ოდიშვილი,GEL 329 
ფანჯრები,მარიამ ოდიშვილი,"GEL 2,459 "
იუკი,მარიამ ოდიშვილი,GEL 329 
თევზები,დავით ბერიძე,"GEL 1,021 "
პარადის შემდეგ,რენო თურქია,"GEL 7,150 "
გაზაფხული,გურამ ხეცურიანი,"GEL 3,274 "
ტაბუ,ლევან სამნაშვილი,GEL 572 
რამდენიმე მთავარი სიმბოლო,გელა ზაუტაშვილი,"GEL 4,090 "
შუადღის მზე,ბელა რომელაშვილი,"GEL 2,459 "
კომპოზიცია A-13,კახაბერ ტატიშვილი,"GEL 2,045 "
თევზები თუ ტყვიები,ნინა ახობაძე,"GEL 1,644 "
კომპოზიცია #10,ბაჩი ჯინჭარაძე,"GEL 2,860 "
მთებში,გიორგი ახობაძე,"GEL 2,860 "
ლამპიონები,ნოდარ სუხიტაშვილი,"GEL 2,045 "
პეიზაჟი,გიორგი ახობაძე,"GEL 2,860 "
პეიზაჟი,გიორგი ახობაძე,"GEL 2,860 "
პეიზაჟი,გიორგი ახობაძე,"GEL 2,860 "
ყოველდღიური კითხვები,ლევან სამნაშვილი,GEL 744 
პეიზაჟი,ალი ასლანიშვილი,"GEL 2,045 "
უსათაუროდ,დალი მეტრეველი,"GEL 1,644 "
იისფერი,ცირა ვახვახიშვილი,"GEL 1,230 "
ნიღაბი,თემურ ნინუა,"GEL 2,860 "
"სერიიდან ""უჯრედები""",კოტე ჯინჭარაძე,"GEL 2,459 "
შიში,ცირა ვახვახიშვილი,"GEL 1,230 "
პეიზაჟი,გიორგი ახობაძე,"GEL 2,860 "
კომპოზიცია #9,ბაჩი ჯინჭარაძე,"GEL 4,090 "
პეიზაჟი,კორნელი სანაძე,"GEL 4,090 "
"სერიიდან ""უჯრედები""",კოტე ჯინჭარაძე,"GEL 2,459 "
პეიზაჟი,ილია პატაშური,"GEL 4,090 "
უსათაუროდ,მარი ჩიჯავაძე,"GEL 2,860 "
პეიზაჟი,ბელა რომელაშვილი,"GEL 2,459 "
გოგონას პორტრეტი,დალი მეტრეველი,"GEL 1,230 "
უსათაუროდ,ნუგზარ ნათენაძე,"GEL 2,045 "
"სერიიდან ""უჯრედები""",კოტე ჯინჭარაძე,"GEL 2,459 "
უსათაუროდ,მიხეილ ფიცხელაური,"GEL 2,860 "
აბსტრაქტული კომპოზიცია,ჯუდუ ფერაძე,"GEL 2,045 "
ქაღალდის გემი,ცირა ვახვახიშვილი,"GEL 1,230 "
ზღვარი ძილსა და ღვიძილს შორის,ლევან სამნაშვილი,GEL 944 
გულის მცველები,ქეთევან კალანდაძე,"GEL 2,188 "
კომპოზიცია #1,ბაჩი ჯინჭარაძე,"GEL 4,090 "
აბსტრაქტული კომპოზიცია,ჯუდუ ფერაძე,"GEL 4,090 "
არმადილო,ცირა ვახვახიშვილი,"GEL 1,630 "
იქ,ბესიკ არბოლიშვილი,"GEL 8,179 "
უსათაუროდ,ნუგზარ ნათენაძე,"GEL 4,090 "
უსათაუროდ,ნუგზარ ნათენაძე,"GEL 4,090 "
